티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
001720,신영증권,KOSPI,177863,5.16,0.31,10783,7.19,4000,9386237.0
049770,동원F&B,KOSPI,45847,6.43,0.66,4711,2.31,701,19295620.0
057050,현대홈쇼핑,KOSPI,171103,5.56,0.24,7541,6.21,2600,12000000.0
097520,엠씨넥스,KOSPI,17477,20.77,1.54,1293,1.86,500,17977732.0
005950,이수화학,KOSPI,11236,17.95,1.63,1019,2.73,500,22450795.0
284740,쿠쿠홈시스,KOSPI,31261,4.14,0.68,5118,3.3,700,22437330.0
013890,지누스,KOSPI,34132,15.41,0.75,1658,2.07,530,18900676.0
034120,SBS,KOSPI,46405,3.22,0.6,8623,3.6,1000,18252582.0
001820,삼화콘덴서,KOSPI,21828,14.08,1.83,2840,1.25,500,10395000.0
007690,국도화학,KOSPI,99565,5.66,0.49,8626,2.87,1400,9010616.0
000480,CR홀딩스,KOSPI,21609,6.76,0.4,1279,5.21,450,28144832.0
000370,한화손해보험,KOSPI,1426,2.17,2.82,1856,0.0,0,116738915.0
170900,동아에스티,KOSPI,78380,39.59,0.8,1576,1.12,700,8614708.0
210980,SK디앤디,KOSPI,31414,6.55,0.64,3084,3.96,800,22190164.0
281820,케이씨텍,KOSPI,20995,7.88,1.01,2692,1.18,250,20861556.0
005180,빙그레,KOSPI,65119,19.14,0.85,2905,2.7,1500,9851241.0
004690,삼천리,KOSPI,410695,7.56,0.26,14387,2.76,3000,4055025.0
306200,세아제강,KOSPI,296062,2.46,0.47,56889,4.29,6000,2836300.0
058650,세아홀딩스,KOSPI,530930,3.32,0.2,31597,3.82,4000,4000000.0
033270,유나이티드제약,KOSPI,22971,9.11,1.21,3058,1.44,400,16244822.0
007810,코리아써키트,KOSPI,20204,6.49,0.8,2507,0.0,0,23620751.0
004430,송원산업,KOSPI,28443,3.15,0.61,5497,2.88,500,24000000.0
145990,삼양사,KOSPI,136968,6.28,0.32,6872,2.9,1250,10313449.0
034310,NICE,KOSPI,21230,12.75,0.61,1012,3.18,410,37882300.0
093050,LF,KOSPI,51612,2.66,0.28,5351,4.93,700,29240000.0
058430,포스코스틸리온,KOSPI,57026,14.53,0.96,3785,1.59,875,6000000.0
286940,롯데정보통신,KOSPI,28084,13.15,0.94,2015,2.64,700,15396331.0
077500,유니퀘스트,KOSPI,13196,8.06,1.13,1853,1.34,200,26167938.0
014830,유니드,KOSPI,135798,3.62,0.4,14826,3.72,2000,6767600.0
183190,아세아시멘트,KOSPI,24770,6.14,0.4,1631,2.25,225,38958090.0
017940,E1,KOSPI,249560,2.34,0.23,24536,6.26,3600,6860000.0
322000,HD현대에너지솔루션,KOSPI,34065,5.73,0.91,5412,1.94,600,11200000.0
005810,풍산홀딩스,KOSPI,99583,4.52,0.35,7614,3.78,1300,9998528.0
005090,SGC에너지,KOSPI,48174,3.17,0.53,8093,6.63,1700,14677004.0
017390,서울가스,KOSPI,270188,14.8,0.25,4554,2.6,1750,5000000.0
002030,아세아,KOSPI,548397,3.84,0.32,46012,2.12,3750,2164534.0
003300,한일홀딩스,KOSPI,46069,3.92,0.25,2904,7.03,800,30832884.0
363280,티와이홀딩스,KOSPI,42418,2.6,0.16,2579,2.24,150,50429268.0
002310,아세아제지,KOSPI,89799,3.57,0.42,10540,2.66,1000,8956502.0
005010,휴스틸,KOSPI,16181,0.87,0.31,5675,7.05,350,56188075.0
004700,조광피혁,KOSPI,106403,28.31,0.45,1706,0.0,0,6649138.0
011760,현대코퍼레이션,KOSPI,36053,3.13,0.57,6554,2.93,600,13228966.0
